AFTER the table, same command, same capture, same locale.

PASS   	USD	expect="$10.00"	got="$10.00"
PASS   	CAD	expect="CA$10.00"	got="CA$10.00"
PASS   	JPY	expect="¥10"	got="¥10"
PASS   	EUR	expect="€10.00"	got="€10.00"
PASS   	RUB	expect="₽10.00"	got="₽10.00"
PASS   	CNY	expect="CN¥10.00"	got="CN¥10.00"
PASS   	PHP	expect="₱10.00"	got="₱10.00"
PASS   	INR	expect="₹10.00"	got="₹10.00"
PASS   	IDR	expect="Rp10"	got="Rp10"
PASS   	KRW	expect="₩10"	got="₩10"
PASS   	BRL	expect="R$10.00"	got="R$10.00"
PASS   	MXN	expect="MX$10.00"	got="MX$10.00"
PASS   	DKK	expect="10.00 KR"	got="10.00 KR"
PASS   	PLN	expect="10.00 zł"	got="10.00 zł"
PASS   	VND	expect="10 ₫"	got="10 ₫"
PASS   	TRY	expect="₺10.00"	got="₺10.00"
PASS   	CLP	expect="10 CLP"	got="10 CLP"
PASS   	ARS	expect="10.00 ARS"	got="10.00 ARS"
PASS   	PEN	expect="S/10.00"	got="S/10.00"
PASS   	NGN	expect="₦10.00"	got="₦10.00"
PASS   	SAR	expect="10.00 SAR"	got="10.00 SAR"
PASS   	ILS	expect="10.00 ILS"	got="10.00 ILS"
PASS   	AED	expect="10.00 AED"	got="10.00 AED"
PASS   	TWD	expect="NT$10.00"	got="NT$10.00"
PASS   	NOK	expect="kr10.00"	got="kr10.00"
PASS   	KWD	expect="KD10.00"	got="KD10.00"
PASS   	JOD	expect="JD10.00"	got="JD10.00"
PASS   	CRC	expect="₡10.00"	got="₡10.00"
PASS   	TND	expect="10.00 TND"	got="10.00 TND"
PASS   	SGD	expect="SG$10.00"	got="SG$10.00"
PASS   	MYR	expect="RM10.00"	got="RM10.00"
PASS   	OMR	expect="10.00 OMR"	got="10.00 OMR"
PASS   	QAR	expect="10.00 QAR"	got="10.00 QAR"
PASS   	BHD	expect="BD10.00"	got="BD10.00"
PASS   	PKR	expect="₨10.00"	got="₨10.00"
PASS   	EGP	expect="ج.م10.00"	got="ج.م10.00"
PASS   	NZD	expect="NZ$10.00"	got="NZ$10.00"
PASS   	BOB	expect="Bs10.00"	got="Bs10.00"
PASS   	GHS	expect="GH₵10.00"	got="GH₵10.00"
PASS   	KES	expect="KSh10.00"	got="KSh10.00"
PASS   	MAD	expect="MAD10.00"	got="MAD10.00"
PASS   	BAM	expect="KM10.00"	got="KM10.00"
PASS   	ISK	expect="kr10.00"	got="kr10.00"
PASS   	TZS	expect="TSh10.00"	got="TSh10.00"
PASS   	UGX	expect="USh10.00"	got="USh10.00"
PASS   	XOF	expect="CFA10.00"	got="CFA10.00"
PASS   	XGC	expect="10.00 GC"	got="10.00 GC"
PASS   	XSC	expect="10.00 SC"	got="10.00 SC"
PASS   	XEC	expect="10.00 SC"	got="10.00 SC"

TOTAL 49 codes, 0 diverge, 49 match the published Example column
