SURFACE	ROWS	STREAM	HIGH	MED	LOW	UPHELD	CAUSE_UNSOUND	ENUM_INCOMPLETE	CODE_ROWS	FILED_LOCKED	CITES_LOCKED
A-REPLAY	15	7	7	1	0	10	4	1	11	0	0
B-CURRENCY	5	3	0	1	1	2	0	3	5	0	1
C-PROSE-I18N	8	2	6	0	0	8	0	0	8	0	0
D-APP-CSS	3	3	0	0	0	1	1	1	3	0	0
E-HUD-BANNER	3	0	3	0	0	3	0	0	3	0	0
F-PAYTABLE	3	0	3	0	0	2	0	1	3	0	1
G-MODES-COST	4	0	2	2	0	4	0	0	4	0	0
H-BET-LADDER-RGS	7	0	4	3	0	3	2	2	7	3	5
I-GRID-GEOMETRY	1	1	0	0	0	0	1	0	1	0	0
J-APP-BUILD-CI	11	2	8	1	0	11	0	0	5	0	0
K-KIT-BUILD	4	0	1	3	0	1	3	0	0	0	0
L-BRAND-ASSETS	12	1	6	5	0	9	2	1	0	0	0
M-DOSSIER	11	0	9	2	0	8	1	2	0	0	0
N-COMPLIANCE-WATCH	7	1	4	2	0	2	4	1	0	0	0
O-MASTER-OWNER	8	0	3	4	1	2	6	0	0	0	0
P-QA-ARTEFACTS	7	0	7	0	0	6	1	0	0	0	0
Q-BOOKS-MATH	3	0	1	2	0	2	1	0	0	0	0
R-OTHER-DOCS	6	0	4	1	1	4	1	1	0	0	0
TOTAL	118

=== ROWS FILED AT A LOCKED PATH ===
S2-C060	HIGH	UPHELD	frontend/src/lib/services/rgsService.ts
S2-C062	HIGH	UPHELD, CAUSE UNSOUND	frontend/src/lib/stores/gameStore.ts
S2-C115	MEDIUM	UPHELD	frontend/src/lib/services/rgsService.ts

=== ROWS CITING A LOCKED PATH BUT FILED ELSEWHERE ===
S2-C014	STREAM	UPHELD	filed=frontend/src/lib/utils/currency.ts	cites=games/future_spinner/
S2-C027	HIGH	UPHELD	filed=frontend/src/lib/components/PaytableModal.svelte	cites=games/future_spinner/
S2-C061	HIGH	UPHELD	filed=frontend/src/lib/stores/betLadder.ts	cites=frontend/src/lib/services/rgsService.ts
S2-C064	HIGH	UPHELD, ENUMERATION INCOMPLETE	filed=frontend/src/lib/stores/betLadder.ts	cites=frontend/src/lib/services/rgsService.ts,frontend/src/lib/stores/gameStore.ts

=== CODE-FIXABLE SET (frontend/src, not filed at a locked path) ===
count=47
 7  frontend/src/lib/i18n/prose.ts	S2-C020(S) S2-C038(H) S2-C039(H) S2-C040(H) S2-C041(H) S2-C042(H) S2-C043(H)
 6  frontend/src/lib/components/ReplayMode.svelte	S2-C004(S) S2-C005(S) S2-C006(S) S2-C007(S) S2-C009(S) S2-C093(M)
 5  frontend/src/lib/services/replayService.ts	S2-C002(S) S2-C003(S) S2-C028(H) S2-C029(H) S2-C030(H)
 5  frontend/src/lib/utils/currency.ts	S2-C013(S) S2-C014(S) S2-C015(S) S2-C116(M) S2-C218(L)
 4  frontend/src/App.svelte	S2-C008(S) S2-C019(S) S2-C031(H) S2-C052(H)
 4  frontend/src/lib/config/fsModes.ts	S2-C035(H) S2-C063(H) S2-C120(M) S2-C121(M)
 4  frontend/src/lib/stores/betLadder.ts	S2-C061(H) S2-C064(H) S2-C110(M) S2-C117(M)
 3  frontend/src/app.css	S2-C012(S) S2-C016(S) S2-C017(S)
 3  frontend/src/lib/components/HudOverlay.svelte	S2-C024(H) S2-C025(H) S2-C026(H)
 3  frontend/src/lib/components/PaytableModal.svelte	S2-C027(H) S2-C037(H) S2-C050(H)
 1  frontend/src/lib/components/GameGrid.svelte	S2-C001(S)
 1  frontend/src/lib/i18n/prose.locales.ts	S2-C021(S)
 1  frontend/src/main.ts	S2-C058(H)

=== PER-SURFACE ROW IDS (the squad manifest) ===
A-REPLAY	S2-C002 S2-C003 S2-C004 S2-C005 S2-C006 S2-C007 S2-C009 S2-C028 S2-C029 S2-C030 S2-C032 S2-C033 S2-C084 S2-C085 S2-C093
B-CURRENCY	S2-C013 S2-C014 S2-C015 S2-C116 S2-C218
C-PROSE-I18N	S2-C020 S2-C021 S2-C038 S2-C039 S2-C040 S2-C041 S2-C042 S2-C043
D-APP-CSS	S2-C012 S2-C016 S2-C017
E-HUD-BANNER	S2-C024 S2-C025 S2-C026
F-PAYTABLE	S2-C027 S2-C037 S2-C050
G-MODES-COST	S2-C035 S2-C063 S2-C120 S2-C121
H-BET-LADDER-RGS	S2-C060 S2-C061 S2-C062 S2-C064 S2-C110 S2-C115 S2-C117
I-GRID-GEOMETRY	S2-C001
J-APP-BUILD-CI	S2-C008 S2-C019 S2-C031 S2-C048 S2-C049 S2-C051 S2-C052 S2-C054 S2-C058 S2-C075 S2-C118
K-KIT-BUILD	S2-C068 S2-C098 S2-C104 S2-C111
L-BRAND-ASSETS	S2-C011 S2-C022 S2-C023 S2-C036 S2-C059 S2-C065 S2-C069 S2-C092 S2-C095 S2-C112 S2-C113 S2-C114
M-DOSSIER	S2-C044 S2-C047 S2-C056 S2-C073 S2-C077 S2-C078 S2-C079 S2-C082 S2-C083 S2-C097 S2-C106
N-COMPLIANCE-WATCH	S2-C010 S2-C046 S2-C066 S2-C067 S2-C081 S2-C100 S2-C101
O-MASTER-OWNER	S2-C055 S2-C057 S2-C076 S2-C105 S2-C107 S2-C108 S2-C109 S2-C216
P-QA-ARTEFACTS	S2-C070 S2-C071 S2-C072 S2-C080 S2-C088 S2-C089 S2-C090
Q-BOOKS-MATH	S2-C074 S2-C122 S2-C123
R-OTHER-DOCS	S2-C045 S2-C053 S2-C086 S2-C087 S2-C103 S2-C217
